id,name,duration,artist_id,artist_name,album_id,album_name,releasedate,lang,vocalinstrumental,gender,acousticelectric,speed,genres,instruments,vartags,rate_downloads_total,rate_listened_total,playlisted,favorited,likes,dislikes,avgnote
1014954,Qué Pasó,217,358187,Sundayers,119528,Impulsos,2013-03-12,es,vocal,female,,medium,"reggae, rock",,"vocal, happy, voice",29812,223571,270,152,1,0,8.0
1015339,I want you (pop rock remix),204,368292,Lollita,119554,Lollita,2013-03-13,en,vocal,female,electric,medium,"pop, rock","electricguitar, electroamplified","acoustic, vocal, voice",856500,1861975,333,172,30,2,8.6667
1015342,Don't you go away featuring Dr Llynx,220,368292,Lollita,119554,Lollita,2013-03-13,en,vocal,female,electric,medium,pop,,"acoustic, vocal, voice, lollita",130381,1290130,120,58,11,0,5.3333
1015359,Sexy jouet,204,368292,Lollita,119554,Lollita,2013-03-13,en,vocal,female,electric,medium,pop,synthesizer,"acoustic, vocal, voice",154576,1281302,184,100,13,0,8.0
1015363,Oh baby (featuring Blunty),220,368292,Lollita,119554,Lollita,2013-03-13,en,vocal,male,electric,medium,pop,synthesizer,"acoustic, vocal, voice",106084,915717,79,40,6,0,8.0
1015364,I want you ,203,368292,Lollita,119554,Lollita,2013-03-13,en,vocal,female,electric,high,"electropop, pop",,"acoustic, vocal, voice",95350,807161,117,62,8,1,8.0
101556,Sweet SuperHero,190,337016,Doune,11362,Sweet SuperHero,2007-11-02,,vocal,male,,medium,pop,,"vocal, fashion, voice, pink",24149,179664,86,40,3,0,8.0
1017514,Ready Set Stay,178,432105,Grace Kelly,119818,Live At Scullers,2013-03-20,,vocal,female,,medium,pop,,"vocal, voice",498988,2041843,854,492,68,5,9.0714
1018531,Walk alone (The Red Stone and The Last Stop),198,377380,Ground &amp; Leaves,119941,The Red Stone,2013-03-24,,vocal,male,acoustic,medium,"folk, country, pop",guitar,"acoustic, vocal, voice",22007,426715,121,67,4,0,6.0
1022211,All You Know,274,432520,Quietly Concerned,120205,Homeless,2013-04-01,,vocal,male,electric,medium,"folk, pop",harmonica,"sad, acoustic, vocal, voice",117034,567655,1168,691,107,4,9.375
1022218,Brand new life,216,375130,Ralf G. (Ralf Gründer),120204,Brand new life,2013-04-01,,vocal,male,electric,medium,pop,synthesizer,"acoustic, vocal, voice",168875,2272792,182,82,20,1,6.8
1022386,Kid At Heart - Hello,295,369019,J.C.Vogt,120220,Kid At Heart - Hello,2013-04-01,en,vocal,male,electric,medium,pop,"acousticguitar, strings","acoustic, vocal, voice",220407,2274169,209,87,32,5,8.8333
1027698,La Scelta del Presidente,197,351372,Millionaire Blonde,120852,La Scelta del Presidente,2013-04-19,it,vocal,female,electric,medium,"pop, electronic, electropop","synthesizer, violin","energetic, acoustic, vocal, voice",331754,1616864,440,221,55,3,8.0357
1031187,I Want You,206,433610,Tamara Laurel,121316,I Want You - Single,2013-05-03,,vocal,female,,medium,"folk, pop, singersongwriter","strings, violin","vocal, voice",1190565,2656941,1551,901,251,7,9.5333
1031199,Thanks for Nothing,219,433617,Great White Buffalo,121321,Great White Buffalo,2013-05-03,,vocal,male,,medium,"rock, indie","electricguitar, drums","vocal, voice, gwb",17416,277461,405,267,13,0,9.4
1031200,Likely Story,223,433617,Great White Buffalo,121321,Great White Buffalo,2013-05-03,,vocal,male,,medium,"rock, indie","electricguitar, drums","vocal, voice, gwb",117005,668865,831,497,79,2,8.375
1032157,Tramp,172,421279,Kassy Key &amp; the Raindoggs,121460,Tramp,2013-05-08,en,vocal,male,electric,medium,"blues, rock, rockabilly","bass, electricguitar","acoustic, vocal, retro, voice, burlesque",43333,301304,354,166,27,2,9.0
1033935,Ashley Ft Juanga Cambia Papa,190,434068,Ashley ,121729,Llegue Yo,2013-05-17,,vocal,female,,medium,"pop, bachata, rock",,"vocal, ballad, voice",47455,329726,115,45,14,3,8.6667
103599,Electricity,213,87,Alexander Blu,11977,Electricity,2007-11-08,,instrumental,neutral,electric,medium,funk,"drums, synthesizer","happy, energetic, lounge",31259,510638,782,327,4,0,8.0
103614,River,269,87,Alexander Blu,11977,Electricity,2007-11-08,,instrumental,neutral,electric,medium,"ambient, electronic",synthesizer,,15443,340874,462,229,2,0,8.0
1036435,FLIGHT,208,365425,Sweet Play,122017,Across The Sky,2013-05-27,en,vocal,female,electric,medium,"electronic, pop, triphop",,"acoustic, vocal, peaceful, voice",27320,956782,721,476,13,1,8.75
1036439,NOTHING REACTED,271,365425,Sweet Play,122017,Across The Sky,2013-05-27,,vocal,female,electric,medium,"electronic, triphop",,"dark, acoustic, vocal, voice",35940,316464,318,193,37,0,8.0
103653,Balkan,254,87,Alexander Blu,11977,Electricity,2007-11-08,,instrumental,neutral,electric,medium,"ambient, world, newage",,,15564,213264,352,194,0,0,6.6667
103663,Tomorrow,245,87,Alexander Blu,11977,Electricity,2007-11-08,,instrumental,neutral,electric,medium,"ambient, electronic",synthesizer,"lounge, neutral",13664,255508,397,231,3,0,4.0
1036934,Rainbow Stone,181,7063,Fresh Body Shop,122071,Rainbow Stone (single),2013-05-28,en,vocal,male,electric,high,"pop, indie, rock",synthesizer,"commercial, acoustic, energetic, voice",227340,1324061,379,182,68,5,8.625
103892,Sunday Evening,156,3901,Jampy,12064,The Unemployed,2007-11-10,,instrumental,neutral,electric,medium,jazz,"electricguitar, electroamplified",,9350,455385,140,55,0,0,4.0
1042147,Check Your Math,244,433907,DJ Spooky,122759,Of Water and Ice,2013-06-18,,instrumental,neutral,,medium,"hiphop, ambient, electronic",,neutral,204402,504785,578,360,46,1,9.8511
1044163,Silver,214,435269,The Gray Havens,122951,Where Eyes Don't Go,2013-06-26,,vocal,male,,medium,"indie, indiepop",,"happy, uplifting, vocal, voice",97378,330167,632,394,117,4,9.5
1044827,Story of One Success (extended mix),260,375935,Akashic Records,123035,Story of One Success (energetic symphonic rock),2013-06-28,,instrumental,neutral,electric,medium,pop,acousticguitar,"happy, uplifting, advertising",78733,487023,1775,760,6,1,8.0
1045016,Don't Lose Your Way,206,365810,Olga Zhilkova,123064,Don't Lose Your Way,2013-06-29,,vocal,female,electric,medium,pop,,"acoustic, vocal, voice",320713,1752584,226,112,33,5,8.75
1046286,Al despertar,320,435524,Los Brodies,123347,Está en el aire,2013-07-08,,vocal,male,,medium,"reggae, rock",,"vocal, happy, voice, reggaerock",17124,209301,133,79,1,0,7.5
1046593,Cuando salga el sol,214,435524,Los Brodies,123347,Está en el aire,2013-07-08,,vocal,female,,medium,"reggae, rock",,"vocal, voice, reggaerock",30900,167229,105,60,0,0,7.5
1046599,Contigo,262,435524,Los Brodies,123347,Está en el aire,2013-07-08,,vocal,male,,medium,reggae,,"vocal, voice, reggaerock",81149,411070,444,250,3,0,8.5
1047954,Brand New Life,233,416786,Café Del Chillia,123484,Brand New Life,2013-07-14,en,vocal,female,electric,medium,"rock, pop",synthesizer,"acoustic, vocal, voice",100269,473726,387,191,41,4,8.375
1048628,jam fun,379,356759,Arnaud Martin Jazabana,123557,Live in Goldengate,2013-07-16,,instrumental,,,medium,"jazz, jazzfunk",piano,"improvisation, groovy",18020,683242,47,24,3,0,8.0
1048629,sweet tania,306,356759,Arnaud Martin Jazabana,123557,Live in Goldengate,2013-07-16,,instrumental,,,medium,"jazz, jazzfunk",piano,,50209,757743,204,127,1,0,8.0
1048630,westrio,305,356759,Arnaud Martin Jazabana,123557,Live in Goldengate,2013-07-16,,instrumental,,,medium,"jazz, latin, jazzfunk",piano,,7786,300051,32,13,1,0,8.0
1048632,lounge funk,399,356759,Arnaud Martin Jazabana,123557,Live in Goldengate,2013-07-16,,instrumental,,,medium,"jazz, jazzfunk, latin",piano,,17520,345511,66,31,1,0,8.6667
1051196,Earthbound,218,436034,Jill Zimmerman,123814,Earthbound,2013-07-25,en,vocal,female,,medium,"pop, folk","piano, electricguitar","happy, vocal, upbeat, voice",45272,2089417,340,199,17,0,8.0
1051197,Yosemite,230,436034,Jill Zimmerman,123814,Earthbound,2013-07-25,en,vocal,female,electric,medium,"pop, indie","piano, electricguitar","acoustic, vocal, voice",258217,1671339,572,327,76,2,9.0
1051198,Tunnel Vision,201,436034,Jill Zimmerman,123814,Earthbound,2013-07-25,en,vocal,female,acoustic,medium,"pop, indie","electricguitar, piano","acoustic, vocal, voice, pianorock",111079,956933,159,87,4,1,8.0
1051378,All Rights Reserved,183,434337,Anny Sky,123837,All Rights Reserved,2013-07-26,,vocal,female,,medium,"house, dance, pop",,"vocal, voice",82856,491638,269,131,29,3,8.2
1051627,Pop Up,104,377055,ZOE.LEELA,123853,Digital Guilt,2013-07-26,,vocal,female,,medium,"pop, electronic, rock",drummachine,"vocal, urban, voice",457814,699202,546,304,99,7,7.6667
1053845,Dark Clouds,449,340225,Peter Maze,124189,Mountain Lounge,2013-08-04,,instrumental,,,medium,"ambient, electronic, chillwave","cello, synthesizer","ethno, documentary",39611,1302490,391,264,2,0,8.0
10558,A l’orée d’un siècle en bois ,235,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,fr,vocal,male,electric,medium,metal,,"acoustic, vocal, voice, neutral",9205,44769,1744,1540,0,0,0.0
1055803,American Dream,239,436631,Joe Farren,124474,Open Skies,2013-08-13,en,vocal,male,electric,medium,,,"acoustic, energetic, vocal, voice",222895,685743,309,142,43,1,8.0
10559,Lesbos,180,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,fr,vocal,male,electric,veryhigh,metal,,"acoustic, energetic, vocal, voice",7152,29718,1729,1535,0,0,6.0
10560,Rapports tendus,197,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,vocal,male,electric,medium,metal,,"acoustic, vocal, voice, neutral",8892,25476,1737,1545,0,0,6.0
10561,La kasket aux 4 visieres,256,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,vocal,male,,medium,metal,,"vocal, voice, neutral",5509,22771,1702,1530,2,0,3.0
1056175,Cheat On Each Other,188,360584,Whalers,124526,Paddle Easy,2013-08-15,,vocal,male,,high,"rock, surfrock, indie","electricguitar, drums","vocal, voice",14072,220851,381,217,8,1,8.6667
10562,Brojzdi abroujzdaniev vizjda,130,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,instrumental,male,electric,medium,,,,6748,17830,1694,1523,0,0,0.0
10563,A mort la mort ,128,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,vocal,male,electric,veryhigh,metal,,"acoustic, vocal, fast, voice, neutral",7972,16403,1678,1522,0,0,6.0
10564,Clémentine on ne chante pas dans la nuit,186,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,vocal,female,electric,medium,metal,,"acoustic, vocal, voice, neutral",7325,22212,1698,1525,0,0,0.0
10565,H,142,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,vocal,male,,medium,metal,,"vocal, voice, neutral",8455,29987,1709,1530,0,0,0.0
10566,Ma crasse,90,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,vocal,male,electric,high,metal,,"acoustic, vocal, voice, neutral",4021,17414,1694,1527,1,0,0.0
10567,Les conquérants de l’univers,245,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,vocal,male,electric,medium,metal,,"acoustic, vocal, voice, neutral",10001,22105,1715,1535,0,0,0.0
10568,L’homme fourmi atomique,147,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,vocal,male,electric,medium,metal,,"acoustic, vocal, voice, neutral",4347,14321,1687,1525,0,0,0.0
10569,Un bain de cassoulet ,163,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,fr,vocal,male,electric,medium,metal,,"acoustic, vocal, voice, neutral",4220,15711,1695,1528,0,0,0.0
10570,L’homme s’enterre,150,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,fr,vocal,male,electric,high,metal,,"acoustic, vocal, voice, neutral",3983,13472,1688,1525,0,0,0.0
10571,Va savoir,238,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,vocal,male,electric,medium,metal,,"acoustic, vocal, voice, neutral",4892,16361,1699,1527,1,0,0.0
10572,Qui a bu boira ,141,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,fr,vocal,male,electric,high,metal,,"acoustic, vocal, voice, neutral",6576,15420,1694,1524,0,0,0.0
10573,Tabass,183,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,vocal,male,electric,medium,metal,,"acoustic, vocal, voice, neutral",3341,11784,1689,1524,0,0,0.0
10574,Bébé phoques fuck BB,134,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,vocal,male,electric,medium,metal,,"acoustic, vocal, voice, neutral",10338,32716,1726,1535,0,0,0.0
1057482,Sorry,228,436872,Dayung,124709,Sorry,2013-08-21,,vocal,male,,medium,"rock, pop","electricguitar, drums","vocal, upbeat, voice, sorry",2067875,953675,12,7,0,0,0.0
10575,Knoklezout au taquet !,126,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,instrumental,male,electric,high,,,,3807,12736,1684,1519,0,0,0.0
10576,Imbroglio,262,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,vocal,male,electric,medium,metal,,"acoustic, energetic, vocal, voice, neutral",2716,12228,1693,1517,0,0,0.0
10577,La mouche,275,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,vocal,male,electric,medium,metal,,"acoustic, energetic, vocal, voice, neutral",5882,14690,1691,1518,0,0,0.0
10578,Border line,283,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,vocal,male,electric,medium,metal,,"acoustic, vocal, voice, neutral",4530,13721,1673,1519,0,0,0.0
10579,Je m’appelle crogrignnnoncr,4,14,David TMX,1561,A l'orée d'un siecle en bois ,2006-03-29,,vocal,male,acoustic,medium,"world, metal",,"acoustic, energetic, vocal, voice, neutral",3759,23464,1656,1510,0,0,1.0
1059814,I'm Walking Away,220,437115,Luigi Talluto,125003,Summertime,2013-08-30,en,vocal,female,electric,medium,edm,synthesizer,"energetic, celebration, acoustic, voice",97863,452081,327,188,30,3,8.6667
1059819,What a Perfect Summertime,181,437115,Luigi Talluto,125003,Summertime,2013-08-30,en,vocal,female,electric,medium,"edm, house, electronic",,"summer, party, energetic, voice",21311,479764,188,103,2,0,8.0
1060600,Midnight,185,352880,Giulio Bradamante,125122,Jazzy,2013-09-02,,instrumental,,,medium,jazz,"synthesizer, electricguitar",jazzy,16701,346388,70,34,0,0,7.0
1063105,Memory Replaced,259,7872,Josh Woodward,125536,Memory Replaced (Single),2013-09-13,en,vocal,male,electric,medium,"folk, rock","drums, bass","acoustic, vocal, voice",327407,984166,548,322,108,7,8.6667
1064014,Homo Satori - Silent Leaves,252,343607,Tunguska Electronic Music Society,125667,Craters: Logancha,2013-09-17,,instrumental,neutral,electric,medium,"world, asian",,peaceful,35346,397368,202,130,6,0,8.75
1065625,It's All A Matter Of Semantics,136,437812,Ben K Adams,125874,Grey Days In LA,2013-09-25,,vocal,neutral,electric,medium,"hiphop, corporate, electronic","synthesizer, bells","acoustic, energetic, vocal, voice, neutral, royaltyfree",18025,235422,438,277,1,0,8.5
1067291,Breathe In Breathe Out,250,351337,Singleton,126162,Uncovered,2013-10-02,,vocal,male,electric,medium,"rock, indierock, indie","electricguitar, drums","melancholic, energetic, acoustic, voice",282000,1511357,1409,868,196,9,8.5556
1070217,In my dreams,213,436993,Intoxicated Piano,126608,Vice Versa,2013-10-13,en,vocal,female,,medium,"ambient, indie","electricguitar, strings","vocal, voice",16512,204276,139,94,4,0,8.0
1070219,Mr.&Mrs Rains,205,436993,Intoxicated Piano,126608,Vice Versa,2013-10-13,en,vocal,female,,medium,"pop, indie, ambient","drums, piano","vocal, voice",73463,527412,82,52,3,0,8.0
1070221,Воздух,254,436993,Intoxicated Piano,126608,Vice Versa,2013-10-13,,vocal,female,,medium,"ambient, indie","electricguitar, drums","vocal, voice",3475,167504,42,20,3,0,8.0
1070604,Explore the intro,193,341278,Tymono,126794,Explore the,2013-10-15,,instrumental,,,medium,"hiphop, electronic, funk",,energetic,23381,293631,388,221,4,0,8.0
1071003,Venice,173,438400,Backnbloom,126867,Music for the Modern Monkey,2013-10-16,en,vocal,female,electric,medium,pop,"electricguitar, electroamplified","acoustic, vocal, voice",32134,380926,94,45,4,2,7.5
1071004,The Feel,191,438400,Backnbloom,126867,Music for the Modern Monkey,2013-10-16,en,vocal,female,electric,medium,pop,,"happy, acoustic, vocal, voice",182604,1098229,268,133,9,0,7.5
1071005,Start Again,205,438400,Backnbloom,126867,Music for the Modern Monkey,2013-10-16,en,vocal,female,electric,medium,pop,,"acoustic, vocal, voice",54634,478656,123,52,12,2,7.3333
1071006,Slip Away,228,438400,Backnbloom,126867,Music for the Modern Monkey,2013-10-16,en,vocal,female,electric,medium,pop,synthesizer,"acoustic, vocal, voice",98567,749001,129,62,10,3,7.5
1071007,King of the Radio,236,438400,Backnbloom,126867,Music for the Modern Monkey,2013-10-16,en,vocal,female,electric,medium,pop,,"acoustic, vocal, voice",50638,623255,113,45,4,2,4.6667
1071010,Flicker,247,438400,Backnbloom,126867,Music for the Modern Monkey,2013-10-16,en,vocal,female,electric,high,pop,,"psychedelic, adventure, acoustic, voice, neutral",12177,411403,105,42,6,1,4.6667
1071011,Empty Spaces,286,438400,Backnbloom,126867,Music for the Modern Monkey,2013-10-16,en,vocal,female,electric,medium,pop,synthesizer,"acoustic, vocal, voice",15263,350936,105,48,4,2,7.5
1071475,Epic Champions,130,375935,Akashic Records,126942,"Epic Champions (heroic, motivational, sports)",2013-10-16,,instrumental,,,high,filmscore,orchestra,"motivational, film, happy, intense",98746,491025,2006,890,10,0,8.0
1071847,Dos Diamantes,231,438201,Javier Jerez,127169,En un mundo que no consigo arañar,2013-10-18,,vocal,male,electric,high,,,"acoustic, vocal, voice, neutral",88319,579996,45,21,2,1,8.0
1072431,Wire & Flashing Lights,217,339989,Professor Kliq,127400,Wire and Flashing Lights EP,2013-10-20,,instrumental,neutral,electric,medium,electronic,"electroamplified, synthesizer","energetic, happy, advertising, bigbeat",97277,1715813,1293,827,10,0,7.7143
1076458,Poetry For The Moon,190,340553,Daniel Catarino,128216,Songs From The Attic Window,2013-11-01,en,vocal,male,acoustic,medium,"folk, rock, singersongwriter",classicalguitar,"acoustic, vocal, retro, voice, lyrics",146558,637357,612,390,122,1,8.0
1078326,Lazy Duck,242,370748,Martin Eigenmann,128418,Martins Funk Fusion,2013-11-08,,instrumental,,,medium,"funk, jazz, acidjazz","electricguitar, drums",funkfusion,10563,401155,123,76,0,0,8.0
1078392,Circle of Sea,210,343767,John Dada &amp; the Weathermen,128427,Birthnight,2013-11-08,en,vocal,male,electric,medium,"folk, rock","strings, hammond","acoustic, vocal, voice",36610,394720,286,165,45,1,8.6667
1081523,What's on the Radio (Feat. Nate Monoxide),238,439316,Monkeyman,128846,Do You Dream of Me?,2013-11-20,en,vocal,male,electric,medium,"dance, pop, electronic","synthesizer, sampler","acoustic, vocal, energetic, voice, eurodisco",276001,819258,330,187,46,12,6.8333
1083180,All Or Nothing,316,439586,David Krystal,129082,She Sings To Me,2013-11-28,,vocal,male,,medium,singersongwriter,"strings, drums","peaceful, vocal, emotional, voice",87312,605552,94,50,11,0,8.0
1083183,One More Dance,299,439586,David Krystal,129082,She Sings To Me,2013-11-28,,vocal,male,,medium,"singersongwriter, pop","strings, drums","vocal, peaceful, emotional, voice",63055,453109,78,49,4,1,8.0
1083184,On And On,256,439586,David Krystal,129082,She Sings To Me,2013-11-28,,vocal,male,,medium,"singersongwriter, pop, artrock","strings, electricguitar","vocal, peaceful, emotional, voice",69031,420570,55,32,3,4,8.0
1083185,Love Isn't Wasted,294,439586,David Krystal,129082,She Sings To Me,2013-11-28,,vocal,male,,medium,"singersongwriter, pop, poprock","strings, electricguitar","love, vocal, emotional, voice",70853,485921,130,70,1,0,8.0
1083188,Into The Dream,262,439586,David Krystal,129082,She Sings To Me,2013-11-28,,vocal,male,,medium,"pop, singersongwriter","strings, drums","love, vocal, peaceful, voice, singsong",61274,402306,127,89,3,0,10.0
1083189,Cover Me (album version),273,439586,David Krystal,129082,She Sings To Me,2013-11-28,,vocal,male,,medium,"pop, singersongwriter","strings, drums","love, uplifting, vocal, voice, percussive",79923,490981,118,84,0,0,9.5
1083659,Say You Love Me,280,439586,David Krystal,129078,View From The Inside,2013-11-28,,vocal,male,,medium,"pop, singersongwriter","electricpiano, electroamplified","love, sentimental, vocal, voice",607529,1237411,538,326,67,4,8.0
1083660,Wake Me When Its Over,211,439586,David Krystal,129078,View From The Inside,2013-11-28,,vocal,male,,medium,"pop, singersongwriter","acousticguitar, strings","love, sentimental, vocal, voice",67397,419590,72,38,3,1,8.0
1083661,Waiting For Love,210,439586,David Krystal,129078,View From The Inside,2013-11-28,,vocal,male,,medium,"pop, singersongwriter","acousticguitar, strings","love, sentimental, vocal, voice",53967,556461,65,34,2,0,8.0
1083662,Missing You,279,439586,David Krystal,129078,View From The Inside,2013-11-28,,vocal,male,,medium,"pop, singersongwriter","acousticguitar, strings","love, sentimental, vocal, voice",23026,548033,125,77,4,0,10.0
1083663,Wipe Away Your Tears,266,439586,David Krystal,129078,View From The Inside,2013-11-28,,vocal,male,,medium,"pop, singersongwriter","piano, strings","love, sentimental, ballad, voice",57963,507026,59,33,2,0,8.0
1083664,Pretty Pretty Girl,235,439586,David Krystal,129078,View From The Inside,2013-11-28,,vocal,male,,medium,"pop, singersongwriter","acousticguitar, strings","love, sentimental, ballad, voice",66008,533302,79,42,3,0,8.0
1083665,Drive Me Crazy,202,439586,David Krystal,129078,View From The Inside,2013-11-28,,vocal,male,,medium,"pop, singersongwriter","acousticguitar, strings","love, sentimental, vocal, voice",62119,486162,79,48,7,0,8.0
1083666,Addicted,222,439586,David Krystal,129078,View From The Inside,2013-11-28,,vocal,male,,medium,"pop, singersongwriter","electricpiano, electroamplified","love, sentimental, vocal, voice",136767,467140,58,29,3,2,8.0
1083667,Hide In The Night,244,439586,David Krystal,129078,View From The Inside,2013-11-28,,vocal,male,,medium,"pop, singersongwriter","acousticguitar, strings","love, sentimental, vocal, voice",57532,515905,61,32,0,0,8.0
1083668,Like Yesterday,210,439586,David Krystal,129078,View From The Inside,2013-11-28,,vocal,male,,medium,"pop, singersongwriter","trumpet, acousticguitar","love, sentimental, vocal, voice",29930,487507,70,36,2,0,8.0
1084940,Bellevue Avenue,198,439773,Misteur Valaire,129497,Bellevue,2013-12-11,,vocal,,,medium,,,,47611,316242,323,203,57,4,8.6667
1084941,Don't Get Là,172,439773,Misteur Valaire,129497,Bellevue,2013-12-11,,vocal,female,,medium,,,,9100,218698,251,156,8,1,8.0
108580,Dirty angel,222,337294,The Phase,13125,Dogma,2007-11-20,,instrumental,neutral,electric,high,"electronic, drumnbass, breakbeat","bass, drums","sport, sad, energetic, big",75964,659727,1656,793,30,3,8.5714
1086545,Star Fall,184,428599,Sunwill,129505,Star Fall (Single),2013-12-11,en,vocal,male,electric,medium,"pop, rock, dubstep","electroamplified, strings","acoustic, vocal, groovy, voice",67695,988620,94,47,5,1,7.0
1086780,Nobody Is Here,257,354307,14ice_music,,,2013-12-13,,,,,,pop,,"sad, drama",73332,614921,334,187,48,2,8.5
1087437,Weekend,335,386200,Hasenchat,129641,Vocal House 7,2013-12-15,,vocal,female,,medium,"electronic, house, dance",,"vocal, voice",1440728,412020,29,18,3,4,0.0
1087794,Positive Emotions,175,431036,StereoResonance,129678,Positive Emotions,2013-12-16,,instrumental,neutral,electric,medium,"pop, corporate, electronic",,"happy, commercial, uplifting",167489,720474,2089,762,15,0,8.6667
1087890,Shine,223,375130,Ralf G. (Ralf Gründer),129698,Shine,2013-12-17,en,vocal,female,electric,medium,"pop, dance, electronic",electricpiano,"acoustic, vocal, energetic, voice",99021,1827095,448,215,54,8,9.1667
1090143,Old Friend,220,437571,Mike Allen,129928,Delta,2013-12-24,,instrumental,,,medium,jazz,guitar,"film, documentaries",22888,369242,139,83,0,0,8.0
1092251,Meine Matrix,170,440506,Peter Pumberger,130185,Meine Matrix,2014-01-01,de,vocal,male,electric,medium,"rock, pop","electricguitar, drums","happy, acoustic, vocal, voice, kiss",21862,723550,126,77,3,1,8.0
1092419,A Million Dollar,253,440512,ProleteR,130358,Curses From Past Times EP,2014-01-06,,instrumental,,electric,medium,"electroswing, electronic, swing",,"energetic, jazzy",11790,216615,271,138,19,3,8.25
1092420,U Can Get It,268,440512,ProleteR,130358,Curses From Past Times EP,2014-01-06,,instrumental,,,medium,"electroswing, swing, hiphop",,"energetic, jazzy",21320,233870,446,260,19,0,7.8
1092425,April Showers,275,440512,ProleteR,130358,Curses From Past Times EP,2014-01-06,,vocal,,,medium,"electroswing, hiphop, swing",,"vocal, energetic, peaceful, voice, jazzy",347141,974924,3037,1937,392,14,9.125
1092639,Parallel Me,156,440494,The Quiet Revolution,130221,Parallel Me,2014-01-02,en,vocal,male,acoustic,medium,"rock, pop","piano, strings","acoustic, vocal, sad, voice",76848,794896,356,208,65,3,9.0
1093606,Dollhouse,218,378695,Lilly Wolf,130347,This Painted Life,2014-01-05,en,vocal,female,electric,medium,"pop, dance, electronic","synthesizer, drums","energetic, acoustic, vocal, voice",202598,1916366,357,213,15,3,8.6667
1093607,Stitches ft. Shane MauX,270,378695,Lilly Wolf,130347,This Painted Life,2014-01-05,en,vocal,female,electric,medium,"pop, dance, electronic","synthesizer, drums","energetic, acoustic, vocal, voice",815996,2040399,543,351,14,1,8.6667
